RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,92,0.212,#43445,#43354
0100→0200,100,200,151,0.559,#43353,#43203
0200→0300,200,300,340,1.342,#43202,#42863
0300→0400,300,400,654,2.847,#42862,#42209
0400→0500,400,500,1220,5.655,#42208,#40989
0500→0600,500,600,2039,10.349,#40988,#38950
0600→0700,600,700,2952,17.144,#38949,#35998
0700→0800,700,800,3837,25.975,#35997,#32161
0800→0900,800,900,4578,36.513,#32160,#27583
0900→1000,900,1000,5538,49.260,#27582,#22045
1000→1100,1000,1100,5933,62.916,#22044,#16112
1100→1200,1100,1200,4566,73.426,#16111,#11546
1200→1300,1200,1300,3342,81.119,#11545,#8204
1300→1400,1300,1400,2400,86.643,#8203,#5804
1400→1500,1400,1500,1722,90.607,#5803,#4082
1500→1600,1500,1600,1359,93.735,#4081,#2723
1600→1700,1600,1700,871,95.739,#2722,#1852
1700→1800,1700,1800,657,97.252,#1851,#1195
1800→1900,1800,1900,420,98.218,#1194,#775
1900→2000,1900,2000,249,98.792,#774,#526
2000→2100,2000,2100,188,99.224,#525,#338
2100→2200,2100,2200,119,99.498,#337,#219
2200→2300,2200,2300,85,99.694,#218,#134
2300→2400,2300,2400,44,99.795,#133,#90
2400→2500,2400,2500,35,99.876,#89,#55
2500→2600,2500,2600,20,99.922,#54,#35
2600→2700,2600,2700,17,99.961,#34,#18
2700→2800,2700,2800,12,99.988,#17,#6
2800→2900,2800,2900,3,99.995,#5,#3
2900→3000,2900,3000,2,100.000,#2,#1
